Group,Family,Comparison,Metric,block,p_value
6assets,internal,SBCA vs SB,MDD,20,0.028
6assets,internal,SBCA vs SB,AR,40,0.624
6assets,internal,SBCA vs SB,SR,40,0.088
6assets,internal,SBCA vs SB,Sortino,40,0.4653
6assets,internal,SBCA vs SB,MDD,40,0.0246
6assets,internal,SBCA vs SB,AR,60,0.6232
6assets,internal,SBCA vs SB,SR,60,0.0849
6assets,internal,SBCA vs SB,Sortino,60,0.4699
6assets,internal,SBCA vs SB,MDD,60,0.0212
6assets,internal,SBCA vs SB,AR,120,0.6267
6assets,internal,SBCA vs SB,SR,120,0.103
6assets,internal,SBCA vs SB,Sortino,120,0.4832
6assets,internal,SBCA vs SB,MDD,120,0.0201
6assets,internal,SBCA vs SBA,AR,20,0.432
6assets,internal,SBCA vs SBA,SR,20,0.1318
6assets,internal,SBCA vs SBA,Sortino,20,0.1267
6assets,internal,SBCA vs SBA,MDD,20,0.1042
6assets,internal,SBCA vs SBA,AR,40,0.4148
6assets,internal,SBCA vs SBA,SR,40,0.1386
6assets,internal,SBCA vs SBA,Sortino,40,0.1361
6assets,internal,SBCA vs SBA,MDD,40,0.1044
6assets,internal,SBCA vs SBA,AR,60,0.4173
6assets,internal,SBCA vs SBA,SR,60,0.1454
6assets,internal,SBCA vs SBA,Sortino,60,0.1441
6assets,internal,SBCA vs SBA,MDD,60,0.0738
6assets,internal,SBCA vs SBA,AR,120,0.4234
6assets,internal,SBCA vs SBA,SR,120,0.1756
6assets,internal,SBCA vs SBA,Sortino,120,0.1808
6assets,internal,SBCA vs SBA,MDD,120,0.0806
6assets,internal,SBCA vs SBC,AR,20,0.3025
6assets,internal,SBCA vs SBC,SR,20,0.5436
6assets,internal,SBCA vs SBC,Sortino,20,0.4938
6assets,internal,SBCA vs SBC,MDD,20,0.9195
6assets,internal,SBCA vs SBC,AR,40,0.31
6assets,internal,SBCA vs SBC,SR,40,0.5507
6assets,internal,SBCA vs SBC,Sortino,40,0.493
6assets,internal,SBCA vs SBC,MDD,40,0.9314
6assets,internal,SBCA vs SBC,AR,60,0.3145
6assets,internal,SBCA vs SBC,SR,60,0.5553
6assets,internal,SBCA vs SBC,Sortino,60,0.4982
6assets,internal,SBCA vs SBC,MDD,60,0.9203
6assets,internal,SBCA vs SBC,AR,120,0.3238
6assets,internal,SBCA vs SBC,SR,120,0.5697
6assets,internal,SBCA vs SBC,Sortino,120,0.4836
6assets,internal,SBCA vs SBC,MDD,120,0.8889
6assets,external,SBCA vs Buy & Hold,AR,20,0.0959
6assets,external,SBCA vs Buy & Hold,SR,20,0.0419
