Group,N,Model,PV,SR,Sortino,MDD,AR,Calmar
8Mid,8,DJ,0.9931,-0.0744,-0.0116,-0.2609,-0.0034,-0.0132
8Mid,8,MinVar,1.2121,0.2769,0.4034,-0.313,0.1005,0.3212
8Mid,8,RP,1.2,0.2205,0.2999,-0.4485,0.0951,0.2119
4Small,4,SBCA,1.4206,0.3299,0.4731,-0.6086,0.1911,0.3139
4Small,4,PPO,1.4092,0.3218,0.4622,-0.6086,0.1863,0.3061
4Small,4,EW,1.2867,0.2276,0.3162,-0.6098,0.1338,0.2193
4Small,4,BH,1.2332,0.1843,0.2653,-0.6114,0.11,0.18
4Small,4,DJ,1.0391,-0.0005,0.0469,-0.6361,0.0193,0.0303
4Small,4,MinVar,1.0085,-0.0314,0.0095,-0.6979,0.0042,0.0061
4Small,4,RP,1.2069,0.1591,0.2349,-0.6291,0.0982,0.1561
8Small,8,SBCA,4.2701,1.6203,2.261,-0.4506,1.0605,2.3535
8Small,8,PPO,4.1858,1.6022,2.2329,-0.4517,1.0401,2.3026
8Small,8,EW,3.9453,1.4887,2.0881,-0.4472,0.9809,2.1935
8Small,8,BH,6.6731,1.0559,1.6562,-0.5794,1.5736,2.7156
8Small,8,DJ,1.8541,0.5122,0.7817,-0.5595,0.36,0.6434
8Small,8,MinVar,2.2129,0.8154,1.0021,-0.6298,0.4852,0.7704
8Small,8,RP,2.7975,1.1531,1.4948,-0.5607,0.6692,1.1935
3Mix,3,SBCA,1.7058,0.5328,0.725,-0.6005,0.3047,0.5074
3Mix,3,PPO,1.6746,0.5143,0.7017,-0.602,0.2927,0.4863
3Mix,3,EW,1.61,0.4749,0.609,-0.5914,0.2677,0.4526
3Mix,3,BH,1.6345,0.5117,0.6367,-0.575,0.2772,0.4821
3Mix,3,DJ,1.3384,0.3477,0.4474,-0.4612,0.1562,0.3387
3Mix,3,MinVar,1.2137,0.2057,0.3009,-0.49,0.1013,0.2067
3Mix,3,RP,1.4325,0.393,0.5174,-0.5492,0.196,0.3569
6Mix,6,SBCA,1.7227,0.6244,0.8509,-0.5333,0.3111,0.5834
6Mix,6,PPO,1.7148,0.619,0.8434,-0.5339,0.3081,0.5771
6Mix,6,EW,1.5854,0.5258,0.7206,-0.529,0.258,0.4877
6Mix,6,BH,1.5233,0.5154,0.6876,-0.5108,0.2332,0.4566
6Mix,6,DJ,1.4018,0.4715,0.611,-0.3908,0.1832,0.4687
6Mix,6,MinVar,1.6124,0.6237,0.8515,-0.4345,0.2686,0.6183
6Mix,6,RP,1.6398,0.6324,0.8556,-0.4837,0.2793,0.5774
12Mix,12,SBCA,1.4494,0.516,0.6789,-0.4774,0.203,0.4252
12Mix,12,PPO,1.4414,0.5066,0.6676,-0.4784,0.1997,0.4174
12Mix,12,EW,1.3475,0.4075,0.5457,-0.4702,0.1601,0.3406
12Mix,12,BH,1.2579,0.3253,0.4388,-0.4533,0.1211,0.2671
12Mix,12,DJ,1.1124,0.1204,0.2211,-0.3321,0.0545,0.164
12Mix,12,MinVar,1.0844,0.0772,0.1682,-0.3975,0.0412,0.1036
12Mix,12,RP,1.269,0.3517,0.4586,-0.4365,0.126,0.2886
18Mix,18,SBCA,2.4284,1.3823,1.6479,-0.4047,0.5556,1.3729
18Mix,18,PPO,2.4198,1.3761,1.6443,-0.4051,0.5529,1.3647
18Mix,18,EW,2.3394,1.3208,1.5956,-0.3955,0.5269,1.3325
18Mix,18,BH,3.8053,0.9184,1.4096,-0.5098,0.9456,1.8549
18Mix,18,DJ,1.4168,0.5784,0.8195,-0.2876,0.1895,0.6588
18Mix,18,MinVar,2.0473,1.1804,1.6576,-0.3151,0.4288,1.3607
18Mix,18,RP,2.7594,0.8461,1.9383,-0.3963,0.6578,1.6599
24All,24,SBCA,2.2493,1.2428,1.4204,-0.4159,0.4974,1.1958
24All,24,PPO,2.2441,1.2393,1.4159,-0.4163,0.4956,1.1907
24All,24,EW,2.152,1.1803,1.3639,-0.4122,0.4647,1.1274
24All,24,BH,3.2229,0.872,1.3133,-0.4868,0.7911,1.6252
24All,24,DJ,1.4164,0.5783,0.7757,-0.3097,0.1893,0.6113
24All,24,MinVar,1.9071,1.0655,1.4352,-0.3246,0.3792,1.1684
24All,24,RP,2.6363,0.7985,1.7376,-0.4084,0.6206,1.5196
