Group,Family,Comparison,Metric,block,p_value
4assets,external,SBCA vs Buy & Hold,MDD,20,0.0335
4assets,external,SBCA vs Buy & Hold,AR,40,0.0035
4assets,external,SBCA vs Buy & Hold,SR,40,0.0025
4assets,external,SBCA vs Buy & Hold,Sortino,40,0.0029
4assets,external,SBCA vs Buy & Hold,MDD,40,0.0362
4assets,external,SBCA vs Buy & Hold,AR,60,0.0035
4assets,external,SBCA vs Buy & Hold,SR,60,0.0042
4assets,external,SBCA vs Buy & Hold,Sortino,60,0.0049
4assets,external,SBCA vs Buy & Hold,MDD,60,0.0456
4assets,external,SBCA vs Buy & Hold,AR,120,0.0009
4assets,external,SBCA vs Buy & Hold,SR,120,0.0032
4assets,external,SBCA vs Buy & Hold,Sortino,120,0.003
4assets,external,SBCA vs Buy & Hold,MDD,120,0.0806
4assets,external,SBCA vs Equal Weight,AR,20,0.0099
4assets,external,SBCA vs Equal Weight,SR,20,0.0109
4assets,external,SBCA vs Equal Weight,Sortino,20,0.0151
4assets,external,SBCA vs Equal Weight,MDD,20,0.1604
4assets,external,SBCA vs Equal Weight,AR,40,0.0065
4assets,external,SBCA vs Equal Weight,SR,40,0.0093
4assets,external,SBCA vs Equal Weight,Sortino,40,0.0127
4assets,external,SBCA vs Equal Weight,MDD,40,0.1682
4assets,external,SBCA vs Equal Weight,AR,60,0.0046
4assets,external,SBCA vs Equal Weight,SR,60,0.0103
4assets,external,SBCA vs Equal Weight,Sortino,60,0.0082
4assets,external,SBCA vs Equal Weight,MDD,60,0.1772
4assets,external,SBCA vs Equal Weight,AR,120,0.0
4assets,external,SBCA vs Equal Weight,SR,120,0.001
4assets,external,SBCA vs Equal Weight,Sortino,120,0.0002
4assets,external,SBCA vs Equal Weight,MDD,120,0.1963
4assets,external,SBCA vs Dow Jones,AR,20,0.4073
4assets,external,SBCA vs Dow Jones,SR,20,0.1132
4assets,external,SBCA vs Dow Jones,Sortino,20,0.1224
4assets,external,SBCA vs Dow Jones,MDD,20,0.0321
4assets,external,SBCA vs Dow Jones,AR,40,0.378
4assets,external,SBCA vs Dow Jones,SR,40,0.1008
4assets,external,SBCA vs Dow Jones,Sortino,40,0.1138
4assets,external,SBCA vs Dow Jones,MDD,40,0.0187
4assets,external,SBCA vs Dow Jones,AR,60,0.3689
4assets,external,SBCA vs Dow Jones,SR,60,0.0795
4assets,external,SBCA vs Dow Jones,Sortino,60,0.0988
4assets,external,SBCA vs Dow Jones,MDD,60,0.0227
4assets,external,SBCA vs Dow Jones,AR,120,0.3761
4assets,external,SBCA vs Dow Jones,SR,120,0.0312
4assets,external,SBCA vs Dow Jones,Sortino,120,0.0392
4assets,external,SBCA vs Dow Jones,MDD,120,0.0326
4assets,external,SBCA vs MVO,AR,20,0.2262
4assets,external,SBCA vs MVO,SR,20,0.069
4assets,external,SBCA vs MVO,Sortino,20,0.0735
4assets,external,SBCA vs MVO,MDD,20,0.0304
4assets,external,SBCA vs MVO,AR,40,0.1969
